순서,목록,인원,회사,감독,연두,키키,고래,콩난,귤젤리,태산,러프,태규,물망쵸,무디,내장지방,돌멩이,돌게,아마추어,찐빵,결,땅물,SUN,오네,제로,피아,동그리,바다,범신,은,소장(괄호:대여)
0,리스트 마지막 업뎃일자,-,,1/19,1.26,1/26,8/15,12/3,01/25,01/25,1/1,1/13,10/30,11/24,10/31,11/04,11/04,11/05,11/24,12/24,08/27,11/11,01/26,01/26,01/01,11/01,11/30,11/01,11/01,
0,🎓졸업률🎓,-,,146/276,120/276,147/276,65/276,182/276,88/276,155/276,67/276,66/276,54/276,48/276,46/276,63/276,24/276,45/276,30/276,27/276,25/276,75/276,122/276,125/276,97/276,13/276,15/276,62/276,6/276,
1,MMM 시리즈 : 시체와 온천,4-5인,언더독 게임즈,완료,완료,완료,완료,완료,X,완료,X,,,완료,완료,완료,완료,,완료,,,완료,완료,완료,완료,,,완료,,"감독,귤젤리,콩난"
2,MMM 시리즈 : 웬디 어른이 되렴,4-5인,언더독 게임즈,완료,완료,완료,완료,완료,완료,완료,완료,,완료,완료,완료,완료,,완료,완료,완료,완료,완료,완료,완료,완료,,,완료,,"감독, 귤젤리,콩난"
3,MMM 시리즈 : 시간을 달리는 트라이앵글,3인,언더독 게임즈,완료,완료,완료,완료,완료,완료,완료,완료,,완료,,완료,완료,완료,완료,,완료,완료,완료,완료,완료,완료,,,,,"감독,귤젤리,콩난"
4,MMM 시리즈 : 보랏못 리라이트,2인,언더독 게임즈,완료,완료,완료,완료,완료,완료,완료,X,,,완료,,완료,,,완료,,,완료,완료,완료,완료,,,,,"감독,귤젤리,콩난"
5,MMM 시리즈 : 문스톤 저택 살인사건,4인,언더독 게임즈,완료,X,완료,완료,완료,X,완료,완료,,,,,완료,,,,,,완료,완료,완료,완료,,,완료,,"감독,콩난"
6,MMM 시리즈 : 카나리아는 지저귀지 않는다,4인,언더독 게임즈,완료,X,완료,,완료,X,완료,완료,,완료,,,,,완료,,,,완료,완료,완료,완료,,,,,"감독,콩난"
7,MMM 시리즈 : 교토 이세계 투어,4인,언더독 게임즈,완료,X,완료,완료,완료,X,완료,X,,,,,완료,,,,,,완료,완료,완료,완료,,,완료,,"감독,콩난"
8,MMM 시리즈 : 별장살인,5-6인,언더독 게임즈,완료,X,완료,완료,완료,완료,완료,완료,완료,완료,,,완료,,완료,완료,,,완료,완료,완료,완료,,,,,"감독,콩난"
9,MMM 시리즈 : 주말의 살인귀,2인,언더독 게임즈,완료,완료,완료,X,완료,완료,완료,X,,,,완료,,,,,,,완료,완료,완료,완료,,,,,"감독,귤젤리,콩난"
10,MMM 시리즈 : 안개가 떨어지는 고개,4인,언더독 게임즈,완료,X,완료,X,완료,X,완료,X,,,완료,,,,,,,,완료,완료,완료,완료,,,완료,,"감독,콩난"
11,MMM 시리즈 : 최후의 수아레,5인,언더독 게임즈,완료,완료,완료,X,완료,X,완료,완료,완료,완료,완료,,완료,,완료,,,,,완료,완료,완료,,,,,감독
12,MMM 시리즈 : 미싱 파이터,4인,언더독 게임즈,완료,X,완료,완료,완료,완료,완료,완료,완료,완료,,완료,완료,완료,완료,,완료,완료,완료,완료,완료,완료,완료,,완료,완료,감독
13,탐정시드 업다이크 슬로터즈 팰러스,6인,언더독 게임즈,완료,완료,완료,완료,완료,완료,완료,완료,완료,,,,,,완료,,,,완료,완료,완료,완료,,,완료,,감독
14,탐정시드 업다이크 칼라미티 트루퍼즈,6인,언더독 게임즈,완료,완료,완료,완료,완료,완료,완료,완료,완료,,,완료,완료,완료,,,,,완료,완료,완료,완료,,,완료,,감독
15,탐정시드 업다이크 리썰 캐시,6인,언더독 게임즈,완료,완료,완료,X,완료,완료,완료,X,,,,,,,,,,,완료,완료,완료,,,,완료,,감독
16,탐정시드 업다이크 모노스태틱 X,6인,언더독 게임즈,완료,완료,완료,,완료,완료,완료,X,,,,,완료,완료,,,,,완료,완료,완료,,,,,,감독
17,탐정 시드업다이크 에이전트 버서스,5인,언더독 게임즈,X,X,,,,,,,,,,,,,,,,,,X,X,,,,,,감독
18,앵커 미스터리 : 코로나가 잦아든 땅에서,3-4인,언더독 게임즈,X,X,완료,,완료,X,,X,,,,,,,,,,,완료,완료,완료,,,,,,감독
19,앵커 미스터리 : 서양식 갑옷이 우는 저택,3-4인,언더독 게임즈,X,X,X,,완료,X,,X,,,,,,,,,완료,,완료,완료,완료,,,,,,감독
20,괴도 에트워스의 발칙한 도전,4인,언더독 게임즈,X,완료,X,X,완료,완료,완료,X,,완료,,,,,완료,,,,,완료,완료,,,,,,"감독,귤젤리"
21,모텔 노바디,4인,언더독 게임즈,완료,완료,완료,,완료,X,완료,X,완료,,,완료,,,,,,,완료,완료,완료,,,,완료,,"감독,귤젤리"
22,DOTs & LINEs : 결단,2인,언더독 게임즈,완료,X,X,,완료,X,,X,,,,,,,,,,,완료,완료,완료,,,,,,감독
23,라이노 교수가 아는 다가올 오늘중의 죽음,5인,언더독 게임즈,완료,X,완료,완료,완료,완료,완료,완료,완료,,예정,완료,,,,,완료,완료,완료,X,X,완료,,,완료,,"감독,귤젤리"
24,황홀한 돼지,4인,언더독 게임즈,완료,X,완료,,완료,X,,X,,,,,,,,,,,,완료,완료,,,,,,SUN
25,스위트 홈 작은 교회,4인,언더독 게임즈,완료,X,완료,,완료,X,완료,완료,,완료,,,완료,,,,,,완료,완료,완료,,,,,,"감독,콩난"
26,설화와 회색빛 몽견초,5인,언더독 게임즈,완료,X,완료,완료,완료,완료,완료,완료,,,완료,,완료,완료,,,,,완료,완료,완료,완료,,,완료,,감독
27,설화와 해바라기 베이커리 ,5인,언더독 게임즈,완료,X,완료,완료,완료,완료,완료,완료,,,완료,,완료,완료,,,,,완료,완료,완료,완료,,,완료,,감독
28,보성전 살인,4인,언더독 게임즈,완료,완료,완료,완료,완료,완료,완료,X,완료,완료,완료,,,,완료,,,,완료,완료,완료,완료,,,,,"감독,콩난"
29,낙원 주점,4인,언더독 게임즈,완료,X,완료,,완료,X,완료,X,완료,,,완료,,,,,,,,완료,완료,완료,,,완료,,"감독,콩난"
30,스페이스 퐁퐁호 살인사건,4인,언더독 게임즈,완료,완료,완료,완료,완료,X,완료,완료,완료,완료,,,,,,완료,,,완료,X,X,,,,,,감독
31,카르네아데스의 음영,4-8인,언더독 게임즈,완료,X,완료,완료,완료,완료,완료,완료,완료,완료,,완료,,,,,,완료,,완료,완료,완료,완료,완료,,완료,감독
32,크세르크세스의 그림자,4인,언더독 게임즈,완료,완료,완료,완료,완료,X,완료,X,,,,완료,,,,,,,완료,완료,완료,완료,,,완료,,"감독, 귤젤리"
33,테르모필라이의 협잡꾼,7인,언더독 게임즈,완료,X,완료,완료,완료,완료,완료,완료,,완료,완료,,,,,,,,완료,완료,완료,완료,,,완료,,감독
34,이프 : 새벽의 조우,2인,딜라이트,완료,완료,완료,,완료,X,완료,X,,,,,,,,,,,,완료,완료,,,,,,감독
35,이프 : 호텔 살인사건,2인,딜라이트,완료,완료,완료,,완료,X,완료,X,,,,,,,,,,,,완료,완료,,,,,,감독
36,인사이드 팩트 : 낙원의 밤,2인,딜라이트,X,완료,완료,,완료,X,,X,,,,,,,,,,,,완료,완료,,,,,,"감독,콩난"
37,인사이드 팩트 : 무너져가는 고성에서 피어나는것은,2인,딜라이트,X,완료,X,,완료,X,,X,,,,,,,,,,,,완료,완료,,,,,,"감독,콩난"
38,인사이드 팩트 : 제아의 눈,2인,딜라이트,X,완료,완료,,완료,X,완료,X,,,,,,,,,,,,완료,완료,,,,,,"감독,콩난"
39,인사이드 팩트2 : 날씨는 맑음,2인,딜라이트,완료,완료,완료,,완료,X,완료,X,,,,,완료,완료,,,,,완료,완료,완료,,,,,,"감독,콩난"
40,인사이드 팩트2 : 카르마,2인,딜라이트,X,완료,완료,,완료,X,완료,X,,,,,,,,,,,완료,완료,완료,,,,,,"감독,콩난"
41,인사이드 팩트2 : missing,2인,딜라이트,X,완료,X,,완료,X,,X,,,,,,,,,,,완료,완료,완료,,,,,,"감독,콩난"
42,인사이드 팩트3 : 마지막 베팅,2인,딜라이트,X,완료,X,,완료,X,,X,,,,,,,,,,,완료,완료,완료,,,,,,"감독,콩난"
43,인사이드 팩트3 : 반짝반짝 빛나는,2인,딜라이트,완료,완료,완료,,완료,X,,완료,,,,,,,,,,,완료,완료,완료,,,,,,"감독,콩난"
44,인사이드 팩트3 : 삼지도,2인,딜라이트,완료,완료,완료,,완료,X,완료,X,,,,,,,,,,,완료,완료,완료,완료,,,,,"감독,콩난"
45,데스트루도,5인,언더독 게임즈,완료,X,완료,,완료,완료,완료,완료,,완료,,완료,완료,완료,,,,,완료,X,X,,,,완료,,귤젤리
46,폭풍과 함께 마왕이 오셨도다,4인,언더독 게임즈,X,X,X,,완료,X,완료,X,,,,,완료,,,,완료,,완료,X,X,완료,,,,,감독
47,데스게임-데스테스트: 기억 잃은 답안,4인,언더독 게임즈,완료,X,X,,완료,X,,X,,,,완료,,,,,,,,완료,완료,,,,,,감독
48,마법사와 잠자는 숲,2인,언더독 게임즈,완료,완료,완료,,X,완료,완료,완료,,,,완료,,,,,,,,완료,완료,,,,,,"감독, 귤젤리"
49,비틀거리는 카나리아에게,2인,언더독 게임즈,완료,완료,X,,완료,완료,완료,,,,완료,,,,완료,완료,,,,완료,완료,,,,,,"감독, 귤젤리"
50,캐치 크라임 : 귀곡산장 살인사건,3-4인,딜라이트,완료,X,X,완료,완료,X,,완료,,,,,완료,,,,,,,X,X,,,,완료,,"감독,콩난"
